Fecha,Clase,Valor_COP
2025-06-15,Acciones EEUU,100000000.0
2025-06-15,Commodities (Oro),15000000.0
2025-06-15,Criptomonedas,30000000.0
2025-06-15,Acciones Colombia,65000000.0
2025-06-15,Fondos de Inversión,1250000000.0
2025-06-15,Cash Broker Desk,89375000.0
2025-09-15,Acciones EEUU,115000000.0
2025-09-15,Commodities (Oro),16500000.0
2025-09-15,Criptomonedas,33000000.0
2025-09-15,Acciones Colombia,71000000.0
2025-09-15,Fondos de Inversión,1290000000.0
2025-09-15,Cash Broker Desk,92375000.0
2026-01-01,Acciones EEUU,125000000.0
2026-01-01,Commodities (Oro),17800000.0
2026-01-01,Criptomonedas,35000000.0
2026-01-01,Acciones Colombia,75000000.0
2026-01-01,Fondos de Inversión,1320000000.0
2026-01-01,Cash Broker Desk,93375000.0
2026-04-15,Acciones EEUU,130000000.0
2026-04-15,Commodities (Oro),19000000.0
2026-04-15,Criptomonedas,37000000.0
2026-04-15,Acciones Colombia,78000000.0
2026-04-15,Fondos de Inversión,1350000000.0
2026-04-15,Cash Broker Desk,94875000.0
2026-05-24,Acciones Colombia,80229960.0
2026-05-24,Acciones EEUU,124956015.88638829
2026-05-24,Cash Broker Desk,83341661.1953125
2026-05-24,Commodities (Oro),73982304.03101209
2026-05-24,Criptomonedas,42437735.89025763
2026-05-24,Fondos de Inversión,1363374614.0
2026-05-25,Acciones Colombia,80229960.0
2026-05-25,Acciones EEUU,123203896.72222602
2026-05-25,Cash Broker Desk,82825162.171875
2026-05-25,Commodities (Oro),72944932.50646323
2026-05-25,Criptomonedas,42102221.804468304
2026-05-25,Fondos de Inversión,1363760520.0
2026-05-26,Acciones Colombia,80229960.0
2026-05-26,Acciones EEUU,122758328.2618414
2026-05-26,Cash Broker Desk,82832562.07421875
2026-05-26,Commodities (Oro),72991529.12626931
2026-05-26,Criptomonedas,41436239.998462304
2026-05-26,Fondos de Inversión,1364514861.0
